Metoda;D³ugoœæ kroku;x0(1);x0(2);x(1);x(2);f_calls;Minimum Globalne;Sukces
Hooke-Jeeves;0.1;-0.612217;-0.821249;-0.774716;-0.774716;145;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.706493;0.669646;-0.774715;0.774715;176;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.260326;-0.396182;-5.65738e-07;5.81593e-07;189;2,09623e-11; ;TAK
Hooke-Jeeves;0.1;-0.274137;-0.687661;-6.91816e-07;-0.774716;179;0,619837; ;TAK
Hooke-Jeeves;0.1;0.878995;0.409169;0.774716;0.774716;186;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.73585;-0.760524;-0.774716;-0.774716;177;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.430631;0.97458;-4.96232e-07;0.774716;178;0,619837; ;TAK
Hooke-Jeeves;0.1;0.174604;-0.683573;4.72165e-07;-0.774715;182;0,619837; ;TAK
Hooke-Jeeves;0.1;0.679606;-0.655472;0.774715;-0.774715;151;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.268275;0.253345;5.22188e-07;-1.4164e-07;179;9,32165e-12; ;TAK
Hooke-Jeeves;0.1;0.701179;-0.942323;0.774716;-0.774716;181;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.86595;-0.0420466;-0.774716;5.14305e-07;169;0,619837; ;TAK
Hooke-Jeeves;0.1;0.882412;-0.479415;0.774716;-0.774716;159;1,23967; ;TAK
Hooke-Jeeves;0.1;0.436855;-0.724913;0.774716;-0.774716;159;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.0374211;-0.725604;-4.27587e-07;-0.774716;155;0,619837; ;TAK
Hooke-Jeeves;0.1;0.75983;-0.531891;0.774716;-0.774716;183;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.396806;-0.0700384;1.50574e-07;-5.33551e-07;185;9,78684e-12; ;TAK
Hooke-Jeeves;0.1;-0.757834;-0.738327;-0.774715;-0.774715;166;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.963446;-0.0656774;-0.774716;-4.75189e-07;173;0,619837; ;TAK
Hooke-Jeeves;0.1;0.0221814;-0.868923;-3.2877e-07;-0.774715;161;0,619837; ;TAK
Hooke-Jeeves;0.1;0.699701;-0.0820662;0.774716;1.80761e-07;160;0,619837; ;TAK
Hooke-Jeeves;0.1;0.310231;-0.000106693;-3.55913e-07;1.18285e-07;177;4,47908e-12; ;TAK
Hooke-Jeeves;0.1;-0.87004;-0.975676;-0.774715;-0.774716;159;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.553796;-0.739855;-0.774716;-0.774715;182;1,23967; ;TAK
Hooke-Jeeves;0.1;0.925025;-0.0482329;0.774715;1.32784e-07;166;0,619837; ;TAK
Hooke-Jeeves;0.1;0.360368;0.250773;1.2939e-07;4.89468e-07;181;8,16192e-12; ;TAK
Hooke-Jeeves;0.1;-0.590821;-0.769209;-0.774716;-0.774716;174;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.268785;-0.285882;1.89939e-08;1.21494e-07;187;4,81393e-13; ;TAK
Hooke-Jeeves;0.1;-0.199438;-0.666126;-7.4386e-07;-0.774716;167;0,619837; ;TAK
Hooke-Jeeves;0.1;0.0714077;-0.733052;-3.52543e-07;-0.774715;190;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.766896;0.167676;-0.774716;6.79012e-07;183;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.234624;-0.758353;-9.95294e-08;-0.774715;172;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.106874;-0.94315;-3.17847e-07;-0.774716;181;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.460651;-0.963714;-6.5073e-07;-0.774716;184;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.666858;0.194499;-0.774716;-8.81567e-08;165;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.617764;0.580434;-0.774716;0.774716;157;1,23967; ;TAK
Hooke-Jeeves;0.1;0.820253;0.468554;0.774715;0.774716;184;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.772355;0.756263;-0.774715;0.774715;163;1,23967; ;TAK
Hooke-Jeeves;0.1;0.936097;-0.862391;0.774715;-0.774715;173;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.309353;-0.137791;-5.44626e-07;5.18088e-07;165;1,79921e-11; ;TAK
Hooke-Jeeves;0.1;0.676314;-0.310642;0.774716;-3.64833e-07;166;0,619837; ;TAK
Hooke-Jeeves;0.1;0.642737;-0.296296;0.774716;2.5182e-07;197;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.768992;-0.220947;-0.774716;2.11855e-07;174;0,619837; ;TAK
Hooke-Jeeves;0.1;0.629124;-0.456975;0.774716;2.85836e-07;207;0,619837; ;TAK
Hooke-Jeeves;0.1;0.453413;0.653234;0.774715;0.774716;161;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.183413;0.918433;-5.68612e-07;0.774715;187;0,619837; ;TAK
Hooke-Jeeves;0.1;0.0722977;0.36592;6.7316e-08;0.774715;192;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.837577;0.351741;-0.774715;-2.32944e-07;177;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.852117;0.111452;-0.774716;-8.33773e-08;177;0,619837; ;TAK
Hooke-Jeeves;0.1;0.0874401;0.710822;-3.74668e-07;0.774716;160;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.583612;0.724033;-0.774716;0.774716;159;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.145428;-0.439632;1.09129e-07;-3.68384e-08;190;4,22329e-13; ;TAK
Hooke-Jeeves;0.1;0.704575;0.911964;0.774715;0.774715;184;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.189477;0.0687093;7.40146e-07;5.0282e-07;192;2,54947e-11; ;TAK
Hooke-Jeeves;0.1;0.160416;0.415628;4.27278e-07;0.774716;190;0,619837; ;TAK
Hooke-Jeeves;0.1;0.291433;0.946523;-5.63076e-07;0.774715;181;0,619837; ;TAK
Hooke-Jeeves;0.1;0.49781;0.66041;0.774716;0.774715;146;1,23967; ;TAK
Hooke-Jeeves;0.1;0.371222;-0.335339;0.774716;4.66237e-07;186;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.577625;0.131459;-0.774716;-4.80081e-07;173;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.412775;-0.843242;2.38355e-08;-0.774716;175;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.746912;-0.992932;-0.774716;-0.774716;180;1,23967; ;TAK
Hooke-Jeeves;0.1;0.339587;-0.808277;-2.37136e-07;-0.774716;210;0,619837; ;TAK
Hooke-Jeeves;0.1;0.285241;-0.846387;6.74297e-07;-0.774716;206;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.596774;-0.171232;-0.774716;2.57817e-07;173;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.265102;-0.553314;7.07347e-07;-0.774716;184;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.314271;-0.244396;2.43967e-07;7.12996e-07;198;1,80829e-11; ;TAK
Hooke-Jeeves;0.1;0.876527;-0.487619;0.774716;-0.774716;192;1,23967; ;TAK
Hooke-Jeeves;0.1;0.695748;0.679323;0.774715;0.774716;158;1,23967; ;TAK
Hooke-Jeeves;0.1;0.236226;0.676824;-2.29627e-07;0.774716;188;0,619837; ;TAK
Hooke-Jeeves;0.1;0.28221;-0.799627;7.1502e-08;-0.774716;191;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.498618;0.029973;-0.774715;1.33493e-07;181;0,619837; ;TAK
Hooke-Jeeves;0.1;0.807609;0.941276;0.774715;0.774716;193;1,23967; ;TAK
Hooke-Jeeves;0.1;0.378037;0.632728;0.774715;0.774716;152;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.426616;-0.607735;-4.71565e-07;-0.774716;184;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.0488856;0.651614;5.34794e-07;0.774715;159;0,619837; ;TAK
Hooke-Jeeves;0.1;0.92539;-0.199988;0.774715;-2.28778e-07;128;0,619837; ;TAK
Hooke-Jeeves;0.1;0.659218;-0.0131461;0.774716;-6.94187e-07;159;0,619837; ;TAK
Hooke-Jeeves;0.1;0.857634;-0.21798;0.774716;5.55359e-07;173;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.166481;0.14021;4.36871e-07;1.16965e-07;164;6,51301e-12; ;TAK
Hooke-Jeeves;0.1;0.777429;-0.635052;0.774716;-0.774716;160;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.584412;0.817944;-0.774715;0.774716;188;1,23967; ;TAK
Hooke-Jeeves;0.1;0.287507;-0.855796;-2.93035e-07;-0.774715;160;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.0136607;0.868329;5.18867e-07;0.774716;171;0,619837; ;TAK
Hooke-Jeeves;0.1;0.360223;0.51186;-5.50192e-07;0.774716;195;0,619837; ;TAK
Hooke-Jeeves;0.1;0.68928;0.570531;0.774716;0.774715;176;1,23967; ;TAK
Hooke-Jeeves;0.1;0.0145379;0.115878;-6.55013e-07;-6.96543e-07;183;2,91109e-11; ;TAK
Hooke-Jeeves;0.1;-0.64384;-0.286631;-0.774716;3.30174e-07;188;0,619837; ;TAK
Hooke-Jeeves;0.1;0.683828;-0.832439;0.774716;-0.774715;176;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.00851912;-0.550856;-1.34383e-07;-0.774715;183;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.204641;-0.542141;6.00594e-07;-0.774716;174;0,619837; ;TAK
Hooke-Jeeves;0.1;-0.434605;0.0519197;7.23874e-07;1.94224e-07;182;1,78866e-11; ;TAK
Hooke-Jeeves;0.1;0.00421113;-0.806491;-2.9691e-07;-0.774716;160;0,619837; ;TAK
Hooke-Jeeves;0.1;0.931629;0.968007;0.774716;0.774716;171;1,23967; ;TAK
Hooke-Jeeves;0.1;-0.974454;0.0101419;-0.774715;-6.3652e-07;175;0,619837; ;TAK
Hooke-Jeeves;0.1;0.305845;0.579633;-3.77288e-07;0.774715;163;0,619837; ;TAK
Hooke-Jeeves;0.1;0.391305;-0.927358;0.774716;-0.774716;187;1,23967; ;TAK
Hooke-Jeeves;0.1;0.736505;-0.207782;0.774716;-4.38418e-07;158;0,619837; ;TAK
Hooke-Jeeves;0.1;0.306185;-0.74735;-5.26253e-07;-0.774716;184;0,619837; ;TAK
Hooke-Jeeves;0.1;0.78557;-0.922944;0.774715;-0.774715;160;1,23967; ;TAK
Hooke-Jeeves;0.1;0.0762964;0.690151;-5.52295e-07;0.774715;162;0,619837; ;TAK
Hooke-Jeeves;0.5;0.842735;0.253422;0.774716;0.774715;192;1,23967; ;TAK
Hooke-Jeeves;0.5;0.838718;-0.592138;0.774715;0.774715;192;1,23967; ;TAK
Hooke-Jeeves;0.5;0.458867;-0.32274;0.774717;9.09696e-08;190;0,619837; ;TAK
Hooke-Jeeves;0.5;0.915802;-0.800278;0.774715;-0.774715;187;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.455629;-0.576867;-8.43285e-08;0.774716;215;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.624595;0.375616;0.774716;0.774715;181;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.469353;0.355403;8.87465e-08;0.774716;176;0,619837; ;TAK
Hooke-Jeeves;0.5;0.63345;0.267986;1.21318e-07;0.774715;176;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.548503;0.118405;0.774716;3.92372e-07;176;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.774982;0.820536;-0.774715;0.774716;179;1,23967; ;TAK
Hooke-Jeeves;0.5;0.106478;0.959707;5.34619e-07;0.774715;191;0,619837; ;TAK
Hooke-Jeeves;0.5;0.689009;-0.309;0.774716;1.54839;197;3,09838; ;TAK
Hooke-Jeeves;0.5;0.527117;-0.396418;-3.52811e-08;-8.29028e-07;192;2,19247e-11; ;TAK
Hooke-Jeeves;0.5;0.868439;-0.933817;0.774715;0.774715;201;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.427356;-0.253355;8.22659e-07;0.774716;207;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.826454;0.479021;-0.774715;0.774715;198;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.972797;0.482451;1.19169e-07;0.774716;198;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.234925;0.346947;-0.774716;0.774715;183;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.776146;-0.273177;-0.774715;1.54839;195;3,09838; ;TAK
Hooke-Jeeves;0.5;0.954402;-0.702899;0.774716;-0.774715;170;1,23967; ;TAK
Hooke-Jeeves;0.5;0.271561;0.36313;0.774716;0.774717;192;1,23967; ;TAK
Hooke-Jeeves;0.5;0.229942;-0.751518;1.5484;-0.774717;185;3,09838; ;TAK
Hooke-Jeeves;0.5;-0.725056;-0.743168;-0.774716;-0.774715;170;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.428732;0.00823151;-5.24859e-07;-6.04058e-07;177;2,03908e-11; ;TAK
Hooke-Jeeves;0.5;-0.330228;0.336959;4.02416e-07;0.774716;191;0,619837; ;TAK
Hooke-Jeeves;0.5;0.345814;-0.321379;0.774716;-4.12218e-07;190;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.448494;0.979312;4.30898e-07;0.774716;177;0,619837; ;TAK
Hooke-Jeeves;0.5;0.840299;-0.47717;0.774715;-8.40501e-07;195;0,619837; ;TAK
Hooke-Jeeves;0.5;0.335214;0.907063;0.774717;0.774716;180;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.0645202;-0.870563;-2.75775e-07;-0.774716;167;0,619837; ;TAK
Hooke-Jeeves;0.5;0.912569;-0.689764;0.774716;-0.774715;207;1,23967; ;TAK
Hooke-Jeeves;0.5;0.33765;-0.467228;0.774715;2.53098e-07;145;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.183097;-0.0464529;-0.774715;5.85138e-07;313;0,619837; ;TAK
Hooke-Jeeves;0.5;0.848944;0.609995;0.774716;-6.5793e-08;176;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.550391;-0.178754;0.774715;0.774716;258;1,23967; ;TAK
Hooke-Jeeves;0.5;0.460409;-0.586517;0.774716;0.774715;165;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.519423;-0.645229;0.774715;0.774716;196;1,23967; ;TAK
Hooke-Jeeves;0.5;0.366251;-0.893911;0.774716;-0.774715;185;1,23967; ;TAK
Hooke-Jeeves;0.5;0.519806;0.884362;-3.05304e-07;0.774716;153;0,619837; ;TAK
Hooke-Jeeves;0.5;0.195319;0.144954;1.5484;-8.4409e-07;180;2,47854; ;TAK
Hooke-Jeeves;0.5;-0.637688;-0.339736;0.774715;-6.38272e-07;198;0,619837; ;TAK
Hooke-Jeeves;0.5;0.935822;-0.00233157;0.774716;-7.86348e-07;187;0,619837; ;TAK
Hooke-Jeeves;0.5;0.51064;0.78435;9.06648e-07;0.774716;175;0,619837; ;TAK
Hooke-Jeeves;0.5;0.926967;0.806532;0.774717;0.774716;185;1,23967; ;TAK
Hooke-Jeeves;0.5;0.513031;-0.751101;-3.47283e-07;-0.774716;186;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.179332;-0.429832;0.774716;5.23007e-07;194;0,619837; ;TAK
Hooke-Jeeves;0.5;0.637356;0.815581;-7.50993e-08;0.774716;208;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.825787;-0.190127;-0.774716;-0.774716;201;1,23967; ;TAK
